1228	1230	function	pub	meshEditActiveCount
1231	1233	function	pub	meshEditGeneration
1239	1275	constant	pub	test_support
1280	1284	function	pub	stashActiveEditMesh
1287	1289	function	pub	paintAtlasImportDimensionsFit
1294	1300	function	pub	meshEditBeginModel
1302	1305	function	-	appendFloats
1307	1310	function	-	appendVertex
1312	1315	function	-	appendTri
1317	1335	function	-	appendTriWithUvs
1342	1408	function	-	installMirrorSynchronizedTriangulation
1410	1413	function	-	triArea2
1415	1422	function	-	appendQuadSplit
1424	1429	function	-	appendTriFacing
1431	1444	function	-	appendQuadSplitFacing
1455	1462	function	-	trueFaceColor
1472	1484	function	-	collectCurrentFaceColors
1489	1497	function	-	restoreFaceColorMetadata
1499	1518	function	-	applyCarriedFaceColors
1523	1532	function	-	applyExactFaceColors
1537	1544	function	-	applyExactSourceFaceColors
1546	1566	constant	-	LogicalTopologyReplacement
1568	1579	function	-	logicalReplacementExactOrAbsent
1584	1595	function	-	logicalReplacementForJournalRestore
1601	1671	constant	-	LogicalRowsBuilder
1673	1673	constant	-	LogicalCloneKey
1674	1687	constant	-	LogicalCloneMap
1689	1698	function	-	appendTriLogical
1700	1713	function	-	appendTriFacingLogical
1715	1732	function	-	appendQuadSplitLogical
1734	1749	function	-	appendQuadSplitFacingLogical
1759	1767	constant	-	LogicalIdFailure
1768	1768	variable	-	g_last_logical_id_failure
1770	1797	function	-	stableLogicalIdForEditVertex
1799	1801	function	-	logicalIdForEditVertex
1814	1858	function	-	fillCornerLogicalId
1860	1876	function	-	editVertexForStableLogicalId
1878	1885	constant	-	EdgeLogicalPromotion
1887	1900	function	-	rollbackEdgeLogicalPromotion
1906	1993	function	-	mintLegacyLogicalTopologyForEdgeAuthoring
1998	2009	function	-	prepareLogicalTopologyForEdgeAuthoring
2014	2032	function	-	edgeSemanticTableResolvesInCurrentDocument
2034	2047	function	-	mirroredLogicalId
2053	2082	function	-	appendFreshIndependentSoupLogical
2084	2111	function	-	logicalReplacementPreflight
2113	2140	function	-	replaceSourceGeometryWithLogical
2142	2215	function	-	replaceActiveEditMesh
2221	2284	function	-	replaceActiveEditMeshPreservingAtlas
2286	2288	function	-	edgeSharesVertex
2290	2293	function	-	dist2
2295	2300	function	-	appendCurrentDisplayed
2302	2311	constant	-	FaceExtrudeEntity
2313	2318	constant	-	SemanticMintIntent
2319	2319	variable	-	g_semantic_mint_intent
2321	2324	function	-	semanticMintIntentClear
2329	2338	function	pub	meshSemanticExtrudeIntentSet
2340	2345	function	-	faceExtrudePosKey
2347	2349	function	-	faceEntityContains
2351	2351	constant	-	FaceExtrudeBoundaryPoint
2353	2418	function	-	chainExtrudeBoundary
2420	2433	function	-	faceLoopNormal
2435	2440	function	-	faceLoopCentroid
2442	2445	function	-	appendFaceColor
2457	2487	function	-	adoptAppendedFaces
2501	2556	constant	-	mirror_corners
2560	2564	function	-	authoredFaceIdOf
2566	2640	function	-	extendFaceMaskWithMirrorTwins
2642	2870	function	pub	meshTopoExtrudeFace
2888	3221	function	-	meshTopoExtrudeRegion
3225	3227	function	-	selectWeldedEdgeAt
3233	3245	function	-	pointWeldsIntoResidentSoup
3248	3255	function	-	mirrorReflectPoint
3264	3288	function	-	extrudeDistanceClearOfResidentVerts
3290	3502	function	pub	meshTopoExtrudeEdge
3504	3510	function	-	findUniqueIndex
3512	3517	function	-	edgeConnects
3519	3562	function	-	closedEdgeLoopOrder
3573	3573	constant	-	BRIDGE_RUN_MAX_EDGES
3575	3582	constant	-	BridgeRun
3584	3584	constant	-	BridgeRunPair
3590	3657	function	-	decomposeBridgeRunPair
3665	3780	function	pub	meshTopoExtrudeToScreen
3788	3791	function	-	refuseCreateFace
3793	3794	constant	-	MISSING_LOGICAL_ROW
3795	3796	constant	-	MIRROR_ROW_REFUSAL
3801	3822	function	-	refuseCreateFaceMissingLogicalRow
3824	4238	function	pub	meshTopoCreateFaceFromEdges
4249	4252	function	-	hostPartCount
4256	4264	function	-	capturePartOfFaces
4270	4287	function	-	repartitionLogicalTopologyByCurrentParts
4295	4327	function	-	renormalizePartRanges
4337	4378	function	-	ensureDisjointPartRanges
4384	4440	function	pub	meshTopoLoopCut
4444	4506	function	pub	meshTopoConnectVertices
4519	4522	function	pub	meshSymmetryReport
4527	4527	constant	-	SYMMETRIZE_PART_PLANE_QUANTUM_M
4537	4620	function	pub	meshTopoSymmetrize
4627	4671	constant	-	LcSession
4672	4672	variable	-	g_lc
4676	4676	constant	-	LC_SNAP_WORLD
4678	4689	function	-	lcFree
4693	4698	function	-	domAxis
4704	4719	function	-	lcPlanes
4724	4793	function	-	lcInstallLowered
4795	4795	constant	pub	LcInfo
4801	4925	function	pub	meshLoopCutFaceBegin
4930	5014	function	pub	meshLoopCutFacePreview
5020	5100	function	pub	meshLoopCutFaceEnd
5106	5108	function	pub	meshLcActive
5110	5116	constant	pub	LcState
5120	5129	function	pub	meshLcState
5131	5134	function	pub	meshLcFallbackReason
5144	5159	function	-	marqueePlane
5164	5333	function	pub	meshTopoMarqueeCut
5339	5339	constant	-	BevelSessionKind
5340	5365	constant	-	BevelSession
5366	5366	variable	-	g_bevel
5368	5381	function	-	bevelFree
5383	5392	constant	pub	BevelInfo
5398	5653	function	pub	meshBevelBegin
5658	5759	function	pub	meshBevelPreview
5764	5863	function	pub	meshBevelEnd
5865	5868	function	pub	meshBevelFallbackReason
5877	5906	function	pub	meshDeleteSelection
5913	5990	function	pub	meshTopoWeldSelection
5992	5997	constant	pub	MeshRetopoWeldPairsRequest
5999	5999	constant	pub	MeshRetopoNormalizeWidthsRequest
6006	6084	function	pub	meshRetopoWeldPairs
6089	6096	function	pub	meshRetopoNormalizeWidths
6099	6111	function	-	weldTriangleDegenerate
6117	6146	function	-	maskMalformedWeldFaceGroups
6152	6174	function	pub	meshDeleteGroupRange
6179	6188	function	-	beginPaintRasterCarry
6190	6192	function	-	cancelPaintRasterCarry
6199	6202	function	-	beginPaintStableReplace
6204	6207	function	-	cancelPaintStableReplace
6209	6226	function	-	paintStableJournalLabel
6228	6230	function	-	deleteMaskedFaces
6237	6399	function	-	rebuildMaskedFaces
6402	6408	function	-	captureFaceGroups
6412	6420	function	-	captureFaceMaterials
6422	6431	constant	-	SemanticRows
6436	6455	function	-	captureFaceSemantics
6457	6460	function	-	optionalU32SlicesEqual
6462	6465	function	-	optionalU8SlicesEqual
6467	6483	function	-	hiddenModelStateHash
6489	6643	constant	-	ResidentMetadataGuard
6645	6651	function	-	maxGroupId
6659	6668	function	-	nextFreeGroupId
6670	6670	constant	pub	AppendResult
6678	6710	function	pub	meshAppendGroup
6714	6721	function	pub	meshAppendPathPlane
6729	6736	function	pub	meshAppendPathWire
6738	6897	function	-	appendGroupInner
6901	6913	constant	-	HiddenGroup
6914	6914	variable	-	g_hidden_groups
6916	6925	function	-	freeHiddenGroup
6927	6930	function	-	clearHiddenGroups
6939	6939	variable	-	g_exact_indexed_save_promotion_refusal
6941	6947	function	-	refuseExactIndexedCacheForSave
6949	7003	function	-	promoteLogicalTopologyFromExactIndexedCacheForSave
7005	7072	function	-	composeDocumentSnapshot
7076	7085	function	pub	modelDocumentSnapshot
7087	7091	constant	-	ModelRecoverySnapshotResult
7093	7096	function	-	fullSemanticTableLossCount
7098	7101	constant	-	RecoveredSemanticTable
7103	7126	function	-	recoverSemanticTableForSnapshotAlloc
7134	7200	function	-	modelRecoverySnapshotWithReceipt
7202	7205	function	pub	modelRecoverySnapshot
7207	7212	constant	pub	CurrentDocumentEncodeError
7214	7219	constant	pub	RecoveryCaptureDegradation
7221	7239	constant	pub	RecoveryCaptureArtifact
7241	7249	function	-	recoveryCaptureAppend
7251	7256	function	-	recoveryActionBits
7258	7286	function	-	recoveryCaptureAppendComposition
7291	7405	function	pub	captureRecoveryArtifactAlloc
7410	7442	function	pub	modelEncodeCurrentDocumentAlloc
7446	7448	function	pub	paintedDocumentSnapshot
7453	7464	function	pub	meshSetGroupHidden
7466	7641	function	-	hideGroup
7643	7734	function	-	showGroup
7739	7760	function	pub	meshSurvivingGroups
7773	7773	constant	-	jalloc
7775	7787	constant	-	JournalHidden
7788	7792	constant	-	JournalAtlas
7793	7805	constant	-	JournalSelection
7806	7847	constant	-	JournalEntry
7849	7858	function	-	freeJournalHidden
7860	7889	function	-	cloneJournalHidden
7891	7920	function	-	cloneHiddenGroup
7921	7921	constant	-	JOURNAL_CAP
7922	7922	constant	-	JOURNAL_BYTE_BUDGET
7926	7926	constant	-	JOURNAL_ATLAS_BYTE_CAP
7927	7927	constant	pub	MESH_ACTION_CAP
7928	7928	constant	pub	MeshActionEvent
7929	7929	variable	-	g_journal_undo
7930	7930	variable	-	g_journal_redo
7931	7931	variable	-	g_journal_note
7932	7932	variable	-	g_gizmo_snap
7933	7933	variable	-	g_mesh_action_events
7934	7934	variable	-	g_mesh_action_len
7935	7935	variable	-	g_mesh_action_seq
7936	7936	variable	-	g_last_committed_action_id
7937	7937	variable	-	g_mesh_action_dropped
7938	7938	variable	-	g_mesh_action_document_token
7939	7939	variable	-	g_mesh_action_source
7940	7940	variable	-	g_follow_action_queue
7941	7941	variable	-	g_model_write_leases
7942	7942	variable	-	g_model_adoption_receipts
7945	7945	variable	-	g_authorized_model_write_receipt
7947	7951	function	-	activeLeaseModelId
7953	7953	constant	-	MutationLease
7955	7977	function	-	acquireMutationLease
7979	7982	function	-	releaseMutationLease
7984	8019	function	-	captureJournalSelection
8021	8045	function	-	restoreJournalSelection
8047	8049	function	-	partCountFromRanges
8051	8053	function	-	currentPartCount
8055	8084	function	-	enqueueMeshAction
8092	8121	function	-	enqueueFollowJournalAction
8123	8125	function	pub	meshActionSourceSet
8127	8129	function	pub	meshActionDocumentSet
8131	8156	function	pub	meshActionDrain
8158	8194	function	-	journalEntryBytes
8196	8224	function	-	journalFreeEntry
8226	8229	function	-	journalFreeStack
8231	8243	function	-	cloneStringRows
8245	8445	function	-	journalSnapshotCurrentInner
8447	8449	function	-	journalSnapshotCurrent
8451	8453	function	-	journalSnapshotForNewAction
8471	8471	variable	-	g_integrity_pending
8472	8472	variable	-	g_integrity_strikes
8473	8473	variable	-	g_integrity_label_buf
8474	8474	variable	-	g_integrity_label_len
8476	8482	function	-	armIntegrityRollCall
8489	8512	function	-	canonicalFaceBits
8522	8612	function	-	meshIntegrityCheck
8616	8680	function	-	journalCommit
8683	8689	function	-	journalDiscard
8693	8719	function	-	journalDropLast
8722	8743	function	pub	meshJournalClear
8745	8751	function	pub	meshJournalNoteSet
8753	8755	function	pub	meshJournalNoteGet
8757	8759	function	pub	meshJournalCounts
8764	8780	function	pub	meshJournalMetadataCheckpoint
8782	8784	function	pub	meshJournalMetadataCheckpointLabel
8786	8798	function	-	journalLogEntryView
8800	8824	function	-	journalCurrentStateBytes
8829	8880	function	pub	meshJournalLogJson
8888	8910	function	pub	modelSessionJson
8912	8915	function	pub	meshUndoLabel
8916	8919	function	pub	meshRedoLabel
8921	8936	function	-	journalInstallUv
8938	8954	function	-	journalInstallAtlas
8959	8972	function	-	journalInstallPaint
8974	8978	function	-	journalInstallRetopoGuide
8980	8986	function	-	journalInstallUvZones
8991	9049	function	-	journalMeshPreflight
9051	9054	function	-	optionalU32RowsEqual
9056	9059	function	-	optionalBytesEqual
9061	9105	function	-	journalSelectionMatches
9110	9142	function	-	journalResidentDurableMatches
9144	9146	function	-	cloneOptionalU32Rows
9150	9231	function	-	journalEntryFromDocument
9235	9353	function	-	journalInstall
9355	9410	function	-	journalStep
9412	9415	function	pub	meshUndo
9416	9419	function	pub	meshRedo
9428	9537	function	pub	meshDuplicateGroupRange
9539	9539	constant	pub	PathArrayAxis
9540	9540	constant	pub	PathArrayProfile
9541	9541	constant	pub	PathArrayParams
9542	9548	constant	pub	PathArrayResult
9550	9552	function	-	pathArrayFail
9554	9556	function	-	knownPartRange
9558	9564	function	-	sourceRangeIndex
9566	9568	function	-	pathDot
9572	9599	function	pub	meshPathArrayHorizontalSpans
9605	9607	function	pub	meshPathArray
9609	9618	function	pub	meshPathArrayPoints
9620	9819	function	-	meshPathArrayInner
9826	9903	function	pub	meshDetachSelection
9909	9976	function	pub	meshMergeGroupRanges
9983	9985	function	pub	normalizeSoupWinding
9992	10053	function	pub	meshFlipSelectionWinding
10058	10114	function	-	commitIndexedFaceGrouping
10128	10269	function	pub	meshMergeSelectedFaces
10283	10289	constant	pub	MirrorQuadStats
10291	10554	function	pub	meshMirrorMatchQuads
10562	10609	function	pub	meshMirrorReplaceSelection
10615	10629	constant	-	QuadifySession
10630	10630	variable	-	g_quadify
10632	10634	constant	pub	QuadifyBeginInfo
10636	10639	constant	pub	QuadifyEndInfo
10641	10651	function	-	quadifyRelease
10653	10657	function	-	quadifyDrop
10659	10671	function	-	quadifyRestoreBase
10673	10706	function	-	quadifyInstallPreview
10710	10770	function	pub	meshQuadifyBegin
10774	10801	function	pub	meshQuadifyPreview
10805	10845	function	pub	meshQuadifyEnd
10850	10862	function	pub	meshTrianglesToQuads
10868	10913	function	pub	meshSetSelectionGlass
10927	10946	function	pub	meshRestoreGlass
10951	11078	function	-	partitionGlassFaces
11082	11097	function	-	ensureGlassTrailing
11101	11108	function	-	editGlassFirstVert
11113	11123	function	pub	modelGlassFirstVertex
11132	11374	function	pub	meshSolidifySelection
11376	11383	function	-	faceCrossFromPositions
11394	11414	function	-	guardSplitPossible
11421	11481	function	-	guardSplitQuads
11488	11488	variable	-	g_curve_pull_armed
11489	11489	variable	-	g_curve_pull_source_ids
11490	11490	variable	-	g_curve_pull_source_base
11491	11491	variable	-	g_curve_pull_source_params
11492	11492	variable	-	g_curve_pull_source_grab
11493	11493	variable	-	g_curve_pull_source_mode
11494	11494	variable	-	g_curve_pull_source_part
11495	11495	variable	-	g_curve_pull_base_colors
11496	11496	variable	-	g_curve_pull_had_groups
11497	11497	variable	-	g_curve_pull_part_count
11498	11498	variable	-	g_curve_pull_mirror_points
11499	11499	variable	-	g_curve_pull_mirror_count
11500	11500	variable	-	g_curve_pull_mirror_parts
11501	11501	variable	-	g_curve_pull_cuts
11502	11502	variable	-	g_curve_pull_topology_changed
11504	11524	function	-	curvePullAdaptiveReset
11526	11536	function	-	curvePullPointsSame
11538	11550	function	-	curvePullAdaptiveSource
11555	11639	function	-	curvePullAdaptiveCapture
11644	11702	function	-	curvePullAdaptiveRebuild
11704	11711	function	pub	meshCurvePullArm
11713	11715	function	pub	meshCurvePullArmed
11717	11733	function	pub	meshGizmoBegin
11738	11748	function	pub	meshGizmoGrabAt
11750	11799	function	pub	meshGizmoFinish
11801	11803	function	pub	meshEditGuardInfo
11805	11846	function	pub	meshEditGuardResolve
11854	11854	variable	-	g_me_capture
11855	11855	variable	-	g_me_focus_tool
11859	11859	variable	-	g_stage_overlay_options
11863	11863	variable	-	g_retopo_band_plan
11867	11867	variable	-	g_retopo_manual_bands
11868	11879	constant	-	RetopoSourceGhost
11883	11883	variable	-	g_retopo_source_ghost
11887	11887	variable	-	g_retopo_pending_band
11888	11888	variable	-	g_retopo_pending_band_generation
11889	11889	constant	-	GizmoTool
11891	11891	constant	-	RETOPO_BAND_TINT_ALPHA
11892	11892	constant	-	RETOPO_GHOST_TINT_ALPHA
11893	11898	constant	-	RETOPO_BAND_PALETTE
11900	11918	function	-	cloneRetopoGuide
11920	11923	function	-	restoreRetopoGuideAndDiscard
11925	11927	function	-	retopoBandColor
11929	11933	function	-	clearRetopoBandPlan
11935	11941	function	-	clearRetopoManualBands
11943	11947	function	-	clearRetopoSourceGhost
11949	11965	function	-	captureRetopoSourceGhost
11967	11975	function	-	ensureRetopoSourceGhost
11987	11987	variable	-	g_uv_zone
11989	11989	constant	pub	UV_ZONE_UNASSIGNED
11991	11999	function	-	prepareZoneInheritance
12001	12009	function	-	prepareZoneCompaction
12011	12018	function	-	prepareZoneAppend
12020	12026	function	-	commitZoneCarry
12028	12030	function	-	prepareRetopoBandInheritance
12032	12034	function	-	prepareRetopoBandCompaction
12036	12038	function	-	prepareRetopoBandAppend
12046	12048	function	-	uvZoneFaceCount
12053	12055	function	-	publishUvZoneMask
12057	12070	function	-	ensureUvZoneRow
12076	12095	function	pub	uvZoneAssignSelection
12098	12101	function	pub	uvZoneOfFace
12104	12115	function	pub	uvZoneDelete
12119	12129	function	pub	uvZoneCounts
12131	12138	function	pub	uvZoneClearAll
12143	12147	function	-	commitRetopoBandCarry
12149	12154	function	-	clearRetopoBandPreview
12160	12176	function	pub	meshRetopoGuideSnapshot
12181	12209	function	pub	meshRetopoGuideRestore
12210	12210	variable	-	g_gizmo_tool
12211	12213	function	pub	setMeshEditCapture
12214	12216	function	pub	meshEditCapturing
12217	12219	function	pub	setMeshEditFocusTool
12220	12222	function	pub	meshEditFocusTool
12223	12229	function	pub	setMeshGizmoTool
12230	12232	function	pub	meshGizmoToolRaw
12235	12237	function	pub	meshEditModeRaw
12239	12246	function	pub	meshEditSetMode
12249	12251	function	pub	meshEditSetXray
12252	12254	function	pub	meshEditXray
12256	12258	function	pub	meshEditSetMirror
12259	12261	function	pub	meshEditMirrorRaw
12268	12268	variable	-	g_paint_session
12272	12272	variable	-	g_paint_layout_stale
12274	12276	function	pub	paintLayoutStale
12281	12285	function	pub	invalidatePaintLayout
12287	12302	function	pub	setPaintSession
12303	12305	function	pub	paintSessionActive
12308	12351	function	pub	meshEditPick
12356	12362	function	pub	meshEditPathPick
12365	12369	function	pub	meshEditInvert
12373	12375	function	pub	meshEditSelectionCount
12381	12381	constant	pub	CHARACTER_RIG_SKIN_HOST_KEY
12382	12382	constant	-	CHARACTER_RIG_BONE_CAP
12383	12383	constant	-	CHARACTER_RIG_NAME_BYTES
12384	12384	constant	-	CHARACTER_RIG_PALETTE_FLOATS
12385	12385	constant	-	CHARACTER_RIG_JOINT_HIT_RADIUS_PX
12387	12396	constant	-	CharacterRigGpuBone
12398	12424	constant	-	CharacterRigGpuState
12426	12426	variable	-	g_character_rig
12428	12437	constant	-	CharacterRigGizmoDrag
12439	12444	constant	pub	CharacterRigGizmoCommit
12446	12446	variable	-	g_character_rig_gizmo
12448	12455	function	-	characterRigReleaseSkin
12457	12461	function	pub	characterRigClearViewport
12463	12469	function	-	characterRigGeometryFingerprint
12471	12519	function	-	characterRigBuildSkin
12521	12555	function	-	characterRigFrameSpecimens
12557	12623	function	pub	characterRigSyncViewport
12625	12631	constant	-	CharacterRigSkinSource
12633	12647	function	-	characterRigSkinSource
12649	12655	function	-	characterRigTransformPoint
12657	12661	function	-	characterRigWorldPoint
12663	12665	function	-	characterRigOrigin
12667	12678	function	-	characterRigParentAxis
12680	12687	function	-	characterRigGizmoPivot
12689	12696	function	-	characterRigQuatMultiply
12698	12702	function	-	characterRigQuatNormalize
12704	12706	function	pub	characterRigActive
12710	12742	function	pub	characterRigGizmoHit
